Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
256724,-1.8158,GO
256725,-1.8156,GO
256726,-1.8156,GO
256727,-1.8156,GO
256728,-1.8153,GO
256729,-1.8156,GO
256730,-1.8153,GO
256731,-1.8150,GO
256732,-1.8153,GO
256733,-1.8153,GO
256734,-1.8153,GO
256735,-1.8153,GO
256736,-1.8153,GO
256737,-1.8153,GO
256738,-1.8156,GO
256739,-1.8158,GO
256740,-1.8161,GO
256741,-1.8163,GO
256742,-1.8166,GO
256743,-1.8166,GO
256744,-1.8171,GO
256745,-1.8171,GO
256746,-1.8176,GO
256747,-1.8181,GO
256748,-1.8184,GO
256749,-1.8186,GO
256750,-1.8191,GO
256751,-1.8191,GO
256752,-1.8196,GO
256753,-1.8199,GO
256754,-1.8199,GO
256755,-1.8202,GO
256756,-1.8204,GO
256757,-1.8209,GO
256758,-1.8212,GO
256759,-1.8212,GO
256760,-1.8214,GO
256761,-1.8214,GO
256762,-1.8214,GO
256763,-1.8214,GO
256764,-1.8214,GO
256765,-1.8214,GO
256766,-1.8214,GO
256767,-1.8212,GO
256768,-1.8212,GO
256769,-1.8209,GO
256770,-1.8209,GO
256771,-1.8209,GO
256772,-1.8207,GO
256773,-1.8204,GO
256774,-1.8204,GO
256775,-1.8202,GO
256776,-1.8199,GO
256777,-1.8196,GO
256778,-1.8191,GO
256779,-1.8189,GO
256780,-1.8184,GO
256781,-1.8181,GO
256782,-1.8176,GO
256783,-1.8171,GO
256784,-1.8171,GO
256785,-1.8168,GO
256786,-1.8166,GO
256787,-1.8163,GO
256788,-1.8158,GO
256789,-1.8158,GO
256790,-1.8156,GO
256791,-1.8153,GO
256792,-1.8153,GO
256793,-1.8150,GO
256794,-1.8148,GO
256795,-1.8145,GO
256796,-1.8145,GO
256797,-1.8148,GO
256798,-1.8148,GO
256799,-1.8150,GO
256800,-1.8148,GO
256801,-1.8148,GO
256802,-1.8148,GO
256803,-1.8148,GO
256804,-1.8150,GO
256805,-1.8153,GO
256806,-1.8156,GO
256807,-1.8158,GO
256808,-1.8161,GO
256809,-1.8163,GO
256810,-1.8168,GO
256811,-1.8171,GO
256812,-1.8176,GO
256813,-1.8181,GO
256814,-1.8186,GO
256815,-1.8189,GO
256816,-1.8189,GO
256817,-1.8194,GO
256818,-1.8196,GO
256819,-1.8199,GO
256820,-1.8202,GO
256821,-1.8202,GO
256822,-1.8202,GO
256823,-1.8202,GO
256824,-1.8204,GO
256825,-1.8207,GO
256826,-1.8207,GO
256827,-1.8207,GO
256828,-1.8204,GO
