Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
885516,-2.9164,GO
885517,-2.9164,GO
885518,-2.9161,GO
885519,-2.9158,GO
885520,-2.9161,GO
885521,-2.9164,GO
885522,-2.9161,GO
885523,-2.9158,GO
885524,-2.9161,GO
885525,-2.9161,GO
885526,-2.9164,GO
885527,-2.9164,GO
885528,-2.9166,GO
885529,-2.9166,GO
885530,-2.9166,GO
885531,-2.9166,GO
885532,-2.9166,GO
885533,-2.9166,GO
885534,-2.9166,GO
885535,-2.9169,GO
885536,-2.9169,GO
885537,-2.9169,GO
885538,-2.9166,GO
885539,-2.9169,GO
885540,-2.9171,GO
885541,-2.9171,GO
885542,-2.9171,GO
885543,-2.9174,GO
885544,-2.9171,GO
885545,-2.9174,GO
885546,-2.9174,GO
885547,-2.9174,GO
885548,-2.9176,GO
885549,-2.9179,GO
885550,-2.9176,GO
885551,-2.9179,GO
885552,-2.9179,GO
885553,-2.9176,GO
885554,-2.9174,GO
885555,-2.9176,GO
885556,-2.9176,GO
885557,-2.9179,GO
885558,-2.9179,GO
885559,-2.9179,GO
885560,-2.9179,GO
885561,-2.9179,GO
885562,-2.9179,GO
885563,-2.9176,GO
885564,-2.9176,GO
885565,-2.9174,GO
885566,-2.9174,GO
885567,-2.9176,GO
885568,-2.9174,GO
885569,-2.9176,GO
885570,-2.9176,GO
885571,-2.9176,GO
885572,-2.9174,GO
885573,-2.9174,GO
885574,-2.9176,GO
885575,-2.9174,GO
885576,-2.9174,GO
885577,-2.9171,GO
885578,-2.9171,GO
885579,-2.9171,GO
885580,-2.9171,GO
885581,-2.9171,GO
885582,-2.9169,GO
885583,-2.9171,GO
885584,-2.9166,GO
885585,-2.9166,GO
885586,-2.9164,GO
885587,-2.9166,GO
885588,-2.9164,GO
885589,-2.9164,GO
885590,-2.9161,GO
885591,-2.9164,GO
885592,-2.9161,GO
885593,-2.9161,GO
885594,-2.9158,GO
885595,-2.9161,GO
885596,-2.9161,GO
885597,-2.9161,GO
885598,-2.9161,GO
885599,-2.9158,GO
885600,-2.9158,GO
885601,-2.9158,GO
885602,-2.9156,GO
885603,-2.9156,GO
885604,-2.9153,GO
885605,-2.9153,GO
885606,-2.9153,GO
885607,-2.9153,GO
885608,-2.9151,GO
885609,-2.9151,GO
885610,-2.9151,GO
885611,-2.9153,GO
885612,-2.9153,GO
885613,-2.9151,GO
885614,-2.9151,GO
885615,-2.9148,GO
885616,-2.9148,GO
885617,-2.9151,GO
885618,-2.9151,GO
885619,-2.9151,GO
885620,-2.9151,GO
885621,-2.9148,GO
885622,-2.9151,GO
885623,-2.9151,GO
885624,-2.9151,GO
885625,-2.9151,GO
885626,-2.9148,GO
885627,-2.9148,GO
885628,-2.9148,GO
885629,-2.9148,GO
885630,-2.9151,GO
885631,-2.9151,GO
885632,-2.9151,GO
885633,-2.9151,GO
885634,-2.9151,GO
885635,-2.9151,GO
885636,-2.9153,GO
885637,-2.9151,GO
885638,-2.9153,GO
885639,-2.9156,GO
885640,-2.9156,GO
885641,-2.9158,GO
885642,-2.9161,GO
885643,-2.9161,GO
885644,-2.9161,GO
885645,-2.9166,GO
885646,-2.9166,GO
885647,-2.9166,GO
885648,-2.9171,GO
885649,-2.9171,GO
885650,-2.9174,GO
885651,-2.9174,GO
885652,-2.9176,GO
885653,-2.9176,GO
885654,-2.9176,GO
885655,-2.9179,GO
885656,-2.9179,GO
885657,-2.9179,GO
885658,-2.9179,GO
885659,-2.9179,GO
885660,-2.9179,GO
885661,-2.9181,GO
