Version,1
Sampling cycle,1000us
Out count,1
Data count,6169
First index,11684

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
12032,-2.0682,GO
12033,-2.0682,GO
12034,-2.0682,GO
12035,-2.0682,GO
12036,-2.0682,GO
12037,-2.0682,GO
12038,-2.0682,GO
12039,-2.0680,GO
12040,-2.0680,GO
12041,-2.0677,GO
12042,-2.0677,GO
12043,-2.0677,GO
12044,-2.0677,GO
12045,-2.0675,GO
12046,-2.0675,GO
12047,-2.0675,GO
12048,-2.0675,GO
12049,-2.0675,GO
12050,-2.0675,GO
12051,-2.0672,GO
12052,-2.0672,GO
12053,-2.0675,GO
12054,-2.0675,GO
12055,-2.0675,GO
12056,-2.0675,GO
12057,-2.0675,GO
12058,-2.0675,GO
12059,-2.0675,GO
12060,-2.0675,GO
12061,-2.0675,GO
12062,-2.0675,GO
12063,-2.0677,GO
12064,-2.0677,GO
12065,-2.0677,GO
12066,-2.0677,GO
12067,-2.0677,GO
12068,-2.0680,GO
12069,-2.0680,GO
12070,-2.0685,GO
12071,-2.0685,GO
12072,-2.0687,GO
12073,-2.0690,GO
12074,-2.0692,GO
12075,-2.0695,GO
12076,-2.0695,GO
12077,-2.0700,GO
12078,-2.0703,GO
12079,-2.0705,GO
12080,-2.0708,GO
12081,-2.0710,GO
12082,-2.0710,GO
12083,-2.0713,GO
12084,-2.0713,GO
12085,-2.0716,GO
12086,-2.0718,GO
12087,-2.0721,GO
12088,-2.0721,GO
12089,-2.0721,GO
12090,-2.0721,GO
12091,-2.0721,GO
12092,-2.0723,GO
12093,-2.0723,GO
12094,-2.0723,GO
12095,-2.0723,GO
12096,-2.0723,GO
12097,-2.0723,GO
12098,-2.0723,GO
12099,-2.0723,GO
12100,-2.0723,GO
12101,-2.0726,GO
12102,-2.0723,GO
12103,-2.0723,GO
12104,-2.0723,GO
12105,-2.0723,GO
12106,-2.0723,GO
12107,-2.0723,GO
12108,-2.0723,GO
12109,-2.0723,GO
12110,-2.0726,GO
12111,-2.0723,GO
12112,-2.0723,GO
12113,-2.0726,GO
12114,-2.0726,GO
12115,-2.0726,GO
12116,-2.0726,GO
12117,-2.0723,GO
12118,-2.0723,GO
12119,-2.0726,GO
12120,-2.0726,GO
12121,-2.0728,GO
12122,-2.0728,GO
12123,-2.0726,GO
12124,-2.0726,GO
12125,-2.0726,GO
12126,-2.0726,GO
12127,-2.0726,GO
12128,-2.0728,GO
12129,-2.0726,GO
12130,-2.0726,GO
12131,-2.0726,GO
12132,-2.0726,GO
12133,-2.0723,GO
12134,-2.0723,GO
12135,-2.0721,GO
12136,-2.0721,GO
12137,-2.0721,GO
12138,-2.0721,GO
12139,-2.0718,GO
12140,-2.0716,GO
12141,-2.0716,GO
12142,-2.0713,GO
12143,-2.0710,GO
12144,-2.0708,GO
12145,-2.0708,GO
12146,-2.0708,GO
12147,-2.0705,GO
12148,-2.0705,GO
12149,-2.0705,GO
12150,-2.0705,GO
12151,-2.0705,GO
12152,-2.0703,GO
12153,-2.0703,GO
12154,-2.0703,GO
12155,-2.0703,GO
12156,-2.0703,GO
12157,-2.0703,GO
12158,-2.0703,GO
12159,-2.0705,GO
12160,-2.0703,GO
12161,-2.0703,GO
12162,-2.0703,GO
12163,-2.0703,GO
12164,-2.0700,GO
12165,-2.0700,GO
12166,-2.0700,GO
12167,-2.0700,GO
12168,-2.0698,GO
12169,-2.0698,GO
12170,-2.0695,GO
12171,-2.0695,GO
12172,-2.0695,GO
12173,-2.0692,GO
12174,-2.0692,GO
12175,-2.0692,GO
12176,-2.0690,GO
12177,-2.0690,GO
12178,-2.0690,GO
12179,-2.0687,GO
12180,-2.0687,GO
12181,-2.0687,GO
12182,-2.0687,GO
12183,-2.0685,GO
12184,-2.0687,GO
12185,-2.0687,GO
12186,-2.0685,GO
12187,-2.0685,GO
12188,-2.0685,GO
12189,-2.0682,GO
12190,-2.0685,GO
12191,-2.0685,GO
12192,-2.0685,GO
12193,-2.0687,GO
12194,-2.0687,GO
12195,-2.0687,GO
12196,-2.0690,GO
12197,-2.0690,GO
12198,-2.0690,GO
12199,-2.0692,GO
12200,-2.0692,GO
12201,-2.0695,GO
12202,-2.0698,GO
12203,-2.0700,GO
12204,-2.0700,GO
12205,-2.0703,GO
12206,-2.0703,GO
12207,-2.0705,GO
12208,-2.0705,GO
12209,-2.0708,GO
12210,-2.0708,GO
12211,-2.0710,GO
12212,-2.0710,GO
12213,-2.0716,GO
12214,-2.0716,GO
12215,-2.0716,GO
12216,-2.0718,GO
12217,-2.0718,GO
12218,-2.0721,GO
12219,-2.0721,GO
12220,-2.0723,GO
12221,-2.0726,GO
12222,-2.0728,GO
12223,-2.0731,GO
12224,-2.0731,GO
12225,-2.0733,GO
12226,-2.0736,GO
12227,-2.0736,GO
12228,-2.0739,GO
12229,-2.0739,GO
12230,-2.0739,GO
12231,-2.0741,GO
12232,-2.0741,GO
12233,-2.0744,GO
12234,-2.0744,GO
12235,-2.0744,GO
12236,-2.0746,GO
12237,-2.0746,GO
12238,-2.0749,GO
12239,-2.0749,GO
12240,-2.0749,GO
12241,-2.0749,GO
12242,-2.0749,GO
12243,-2.0751,GO
12244,-2.0751,GO
12245,-2.0749,GO
12246,-2.0749,GO
12247,-2.0749,GO
12248,-2.0751,GO
12249,-2.0751,GO
12250,-2.0751,GO
12251,-2.0754,GO
12252,-2.0754,GO
12253,-2.0754,GO
12254,-2.0754,GO
12255,-2.0751,GO
12256,-2.0751,GO
12257,-2.0749,GO
12258,-2.0749,GO
12259,-2.0749,GO
12260,-2.0751,GO
12261,-2.0751,GO
12262,-2.0754,GO
12263,-2.0751,GO
12264,-2.0751,GO
12265,-2.0751,GO
12266,-2.0751,GO
12267,-2.0749,GO
12268,-2.0751,GO
12269,-2.0751,GO
12270,-2.0751,GO
12271,-2.0751,GO
12272,-2.0749,GO
12273,-2.0749,GO
12274,-2.0746,GO
12275,-2.0746,GO
12276,-2.0746,GO
12277,-2.0746,GO
12278,-2.0746,GO
12279,-2.0744,GO
12280,-2.0744,GO
12281,-2.0741,GO
12282,-2.0739,GO
12283,-2.0736,GO
12284,-2.0736,GO
12285,-2.0736,GO
12286,-2.0736,GO
12287,-2.0733,GO
12288,-2.0731,GO
12289,-2.0731,GO
12290,-2.0726,GO
12291,-2.0726,GO
12292,-2.0723,GO
12293,-2.0721,GO
12294,-2.0718,GO
12295,-2.0716,GO
12296,-2.0716,GO
12297,-2.0716,GO
12298,-2.0713,GO
12299,-2.0710,GO
12300,-2.0710,GO
12301,-2.0708,GO
12302,-2.0705,GO
12303,-2.0703,GO
12304,-2.0703,GO
12305,-2.0700,GO
12306,-2.0703,GO
12307,-2.0700,GO
12308,-2.0700,GO
12309,-2.0700,GO
12310,-2.0698,GO
12311,-2.0698,GO
12312,-2.0695,GO
12313,-2.0695,GO
12314,-2.0692,GO
12315,-2.0692,GO
12316,-2.0690,GO
12317,-2.0690,GO
12318,-2.0687,GO
12319,-2.0685,GO
12320,-2.0685,GO
12321,-2.0685,GO
12322,-2.0685,GO
12323,-2.0682,GO
12324,-2.0680,GO
12325,-2.0680,GO
12326,-2.0677,GO
12327,-2.0677,GO
12328,-2.0677,GO
12329,-2.0677,GO
12330,-2.0675,GO
12331,-2.0675,GO
12332,-2.0672,GO
12333,-2.0672,GO
12334,-2.0672,GO
12335,-2.0672,GO
12336,-2.0672,GO
12337,-2.0675,GO
12338,-2.0675,GO
12339,-2.0675,GO
12340,-2.0675,GO
12341,-2.0675,GO
12342,-2.0677,GO
12343,-2.0677,GO
12344,-2.0680,GO
12345,-2.0680,GO
12346,-2.0682,GO
12347,-2.0682,GO
12348,-2.0685,GO
12349,-2.0685,GO
12350,-2.0687,GO
12351,-2.0687,GO
12352,-2.0690,GO
12353,-2.0692,GO
12354,-2.0692,GO
12355,-2.0695,GO
12356,-2.0695,GO
12357,-2.0698,GO
12358,-2.0698,GO
12359,-2.0698,GO
12360,-2.0700,GO
12361,-2.0700,GO
12362,-2.0700,GO
12363,-2.0700,GO
12364,-2.0700,GO
12365,-2.0700,GO
12366,-2.0700,GO
12367,-2.0703,GO
12368,-2.0703,GO
12369,-2.0700,GO
12370,-2.0703,GO
12371,-2.0703,GO
12372,-2.0703,GO
12373,-2.0703,GO
12374,-2.0703,GO
12375,-2.0703,GO
12376,-2.0703,GO
12377,-2.0703,GO
12378,-2.0705,GO
12379,-2.0708,GO
12380,-2.0705,GO
12381,-2.0708,GO
12382,-2.0708,GO
12383,-2.0710,GO
12384,-2.0710,GO
12385,-2.0710,GO
12386,-2.0713,GO
12387,-2.0713,GO
12388,-2.0713,GO
12389,-2.0716,GO
12390,-2.0716,GO
12391,-2.0718,GO
12392,-2.0718,GO
12393,-2.0721,GO
12394,-2.0721,GO
12395,-2.0723,GO
12396,-2.0723,GO
12397,-2.0726,GO
12398,-2.0726,GO
12399,-2.0726,GO
12400,-2.0728,GO
12401,-2.0728,GO
12402,-2.0728,GO
12403,-2.0728,GO
12404,-2.0728,GO
12405,-2.0728,GO
12406,-2.0731,GO
12407,-2.0731,GO
12408,-2.0731,GO
12409,-2.0731,GO
12410,-2.0731,GO
12411,-2.0733,GO
12412,-2.0731,GO
12413,-2.0731,GO
12414,-2.0731,GO
12415,-2.0728,GO
12416,-2.0728,GO
12417,-2.0728,GO
12418,-2.0728,GO
12419,-2.0728,GO
12420,-2.0728,GO
12421,-2.0728,GO
12422,-2.0728,GO
12423,-2.0728,GO
12424,-2.0726,GO
12425,-2.0728,GO
12426,-2.0728,GO
12427,-2.0728,GO
12428,-2.0728,GO
12429,-2.0726,GO
12430,-2.0726,GO
12431,-2.0726,GO
12432,-2.0726,GO
12433,-2.0723,GO
12434,-2.0723,GO
12435,-2.0723,GO
12436,-2.0723,GO
12437,-2.0723,GO
12438,-2.0721,GO
